Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
C04506,Protein C-terminal S-farnesyl-L-cysteine,C20H33N2O3SR(C2H2NOR)n,Cytosol,7120
C00132,Methanol,CH4O,Cytosol,3432
C04748,Protein C-terminal S-farnesyl-L-cysteine methyl ester,C21H35N2O3SR(C2H2NOR)n,Cytosol,7318
C00048,Glyoxylate,C2H2O3,Cytosol,3350
C00515,D-Ornithine,C5H12N2O2,Cytosol,3798
C01110,5-Amino-2-oxopentanoic acid,C5H9NO3,Cytosol,4342
C00763,D-Proline,C5H9NO2,Cytosol,4025
C03564,1-Pyrroline-2-carboxylate,C5H7NO2,Cytosol,6356
C00792,D-Arginine,C6H14N4O2,Cytosol,4050
C03771,5-Guanidino-2-oxopentanoate,C6H11N3O3,Cytosol,6525
C03440,cis-4-Hydroxy-D-proline,C5H9NO3,Cytosol,6264
C04282,1-Pyrroline-4-hydroxy-2-carboxylate,C5H7NO3,Cytosol,6944
C00916,Cephalosporin C,C16H21N3O8S,Cytosol,4170
C04712,(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate,C16H18N2O9S,Cytosol,7284
C15522,4a-Hydroxytetrahydrobiopterin,C9H15N5O4,Cytosol,17396514
C00268,Dihydrobiopterin,C9H13N5O3,Cytosol,3566
C00091,Succinyl-CoA,C25H40N7O19P3S,Cytosol,3391
C03972,"2,3,4,5-Tetrahydrodipicolinate",C7H9NO4,Cytosol,6692
C04462,N-Succinyl-2-L-amino-6-oxoheptanedioate,C11H15NO8,Cytosol,7087
C04421,"N-Succinyl-LL-2,6-diaminoheptanedioate",C11H18N2O7,Cytosol,7053
C00666,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,Cytosol,3935
C20062,"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA",C29H42N7O18P3S,Cytosol,135626528
C19975,2-Oxepin-2(3H)-ylideneacetyl-CoA,C29H42N7O18P3S,Cytosol,135626441
C19945,"3-Oxo-5,6-dehydrosuberyl-CoA",C29H44N7O20P3S,Cytosol,135626411
C14144,5-Carboxy-2-pentenoyl-CoA,C27H42N7O19P3S,Cytosol,7846956
