Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
G00711,Glycan,(GlcA)1 (GlcNAc)2,Cytosol,,
G10008,Glycan,(GlcA)1 (GlcNAc)1,Cytosol,,
C00130,IMP,C10H13N4O8P,Cytosol,3430,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
C00262,Hypoxanthine,C5H4N4O,Cytosol,3560,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C(=CC43C)Br)F)F)O)C)OC(=O)C
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,Cytosol,3419,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3
C00144,GMP,C10H14N5O8P,Cytosol,3444,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br
C00242,Guanine,C5H5N5O,Cytosol,3541,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br
C00655,Xanthosine 5'-phosphate,C10H13N4O9P,Cytosol,3925,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C
C00385,Xanthine,C5H4N4O2,Cytosol,3675,C1=CC=C(C=C1)CCNN
C02380,6-Mercaptopurine,C5H4N4S,Cytosol,5422,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC
C04646,6-Thioinosine-5'-monophosphate,C10H13N4O7PS,Cytosol,7235,CC(=C(C)N=O)NO
C16614,6-Methylmercaptopurine,C6H6N4S,Cytosol,51090940,C1CN(CC1CNC(=O)CC2=CNC3=CC=CC=C32)CC(F)(F)F
C16615,6-Methylthiopurine 5'-monophosphate ribonucleotide,C11H15N4O7PS,Cytosol,51090941,C1CN(CC1CNC(=O)C23CC4CC(C2)CC(C4)C3)CC(F)(F)F
C07648,Thioguanine,C5H5N5S,Cytosol,9850,C(CN=C=O)CF
C16619,6-Thioguanosine monophosphate,C10H14N5O7PS,Cytosol,51090945,CC1=CC2=C(C=C1)C=C(N2)C(=O)N3CCC(CC3)N4CCCCC4
C00044,GTP,C10H16N5O14P3,Cytosol,3346,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
C00058,Formate,CH2O2,Cytosol,3358,COC1=CC2=C(C=C1)NC3=C2C4=C(C=C3)C=C[N+](=C4)CC[NH2+]CCCCCC[NH2+]CC[N+]5=CC6=C(C=CC7=C6C8=C(N7)C=CC(=C8)OC)C=C5
C05922,Formamidopyrimidine nucleoside triphosphate,C10H18N5O15P3,Cytosol,8210,CCCCOCCOCCOCCCC
C06148,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C9H18N5O14P3,Cytosol,8404,C1CCC2=CC=CC=C2C1
C05923,"2,5-Diaminopyrimidine nucleoside triphosphate",C9H18N5O14P3,Cytosol,8211,CCCCCCCCCCCCCCN(C)C
C01300,"6-(Hydroxymethyl)-7,8-dihydropterin",C7H9N5O2,Cytosol,4518,C(CN(CCN)N(N=O)[O-])[NH3+]
C00568,4-Aminobenzoate,C7H7NO2,Cytosol,3847,C=C(CCCC(C(=O)O)N)C(=O)O
C00921,Dihydropteroate,C14H14N6O3,Cytosol,4175,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CCCC(=O)O3)C
C04807,"6-Hydroxymethyl-7,8-dihydropterin diphosphate",C7H11N5O8P2,Cytosol,7369,C1=CC=C(C=C1)S(=O)(=O)Cl
C00266,Glycolaldehyde,C2H4O2,Cytosol,3564,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC
C21065,"7,8-Dihydroxanthopterin",C6H7N5O2,Cytosol,295369327,
C21008,"7,8-Dihydromonapterin",C9H13N5O4,Cytosol,254741466,
